slug,title,category,license,repo_url,website_url,is_docker_ready,documented_min_ram_mb,install_verified_os,install_verified_date,content_updated
actual-budget,Actual Budget,personal-finance,MIT,https://github.com/actualbudget/actual,https://actualbudget.org,true,512,Ubuntu 26.04,2026-07-25,2026-07-13
adguard-home,AdGuard Home,network-wide-ad-blocking,GPL-3.0,https://github.com/AdguardTeam/AdGuardHome,https://adguard.com/adguard-home/overview.html,true,512,Ubuntu 26.04,2026-07-25,2026-07-25
agentarea,AgentArea,ai-agent-platforms,Apache-2.0,https://github.com/agentarea/agentarea,https://agentarea.ai,true,4096,,,2026-08-06
anythingllm,AnythingLLM,ai-chat-interfaces,MIT,https://github.com/Mintplex-Labs/anything-llm,https://anythingllm.com,true,2048,Ubuntu 26.04,2026-07-25,2026-07-14
appwrite,Appwrite,backend-baas,BSD-3-Clause,https://github.com/appwrite/appwrite,https://appwrite.io,true,4096,Ubuntu 26.04,2026-07-25,2026-07-14
audiobookshelf,Audiobookshelf,media-server,GPL-3.0,https://github.com/advplyr/audiobookshelf,https://www.audiobookshelf.org,true,512,Ubuntu 26.04,2026-07-25,2026-07-13
authelia,Authelia,sso-identity,Apache-2.0,https://github.com/authelia/authelia,https://www.authelia.com,true,256,Ubuntu 26.04,2026-08-28,2026-07-13
authentik,authentik,sso-identity,MIT,https://github.com/goauthentik/authentik,https://goauthentik.io,true,2048,Ubuntu 26.04,2026-08-28,2026-07-13
beszel,Beszel,monitoring,MIT,https://github.com/henrygd/beszel,https://beszel.dev,true,256,Ubuntu 26.04,2026-08-27,2026-08-28
bitwarden,Bitwarden,password-manager,AGPL-3.0,https://github.com/bitwarden/server,https://bitwarden.com,true,2048,Ubuntu 26.04,2026-07-25,2026-08-26
bookstack,BookStack,wiki-docs,MIT,https://github.com/BookStackApp/BookStack,https://www.bookstackapp.com,true,512,Ubuntu 26.04,2026-07-25,2026-07-13
bugsink,Bugsink,error-tracking,PolyForm Shield 1.0.0,https://github.com/bugsink/bugsink,https://www.bugsink.com,true,256,Ubuntu 26.04,2026-08-28,2026-08-28
caprover,CapRover,platform-as-a-service,Apache-2.0,https://github.com/caprover/caprover,https://caprover.com,true,1024,Ubuntu 26.04,2026-07-25,2026-07-13
checkmate,Checkmate,monitoring,AGPL-3.0,https://github.com/bluewave-labs/Checkmate,https://checkmate.so,true,2048,Ubuntu 26.04,2026-08-27,2026-08-27
coolify,Coolify,platform-as-a-service,Apache-2.0,https://github.com/coollabsio/coolify,https://coolify.io,true,2048,Ubuntu 26.04,2026-08-28,2026-07-13
directus,Directus,backend-baas,MSCL-1.0,https://github.com/directus/directus,https://directus.io,true,512,Ubuntu 26.04,2026-07-25,2026-07-25
docker-mailserver,docker-mailserver,mail-server,MIT,https://github.com/docker-mailserver/docker-mailserver,https://docker-mailserver.github.io/docker-mailserver,true,512,Ubuntu 26.04,2026-07-25,2026-07-25
dokku,Dokku,platform-as-a-service,MIT,https://github.com/dokku/dokku,https://dokku.com,true,1024,Ubuntu 26.04,2026-07-25,2026-07-13
dokploy,Dokploy,platform-as-a-service,Apache-2.0,https://github.com/Dokploy/dokploy,https://dokploy.com,true,2048,Ubuntu 26.04,2026-08-28,2026-07-25
espocrm,EspoCRM,crm,AGPL-3.0,https://github.com/espocrm/espocrm,https://www.espocrm.com,true,1024,Ubuntu 26.04,2026-08-04,2026-08-05
firefly-iii,Firefly III,personal-finance,AGPL-3.0,https://github.com/firefly-iii/firefly-iii,https://firefly-iii.org,true,512,Ubuntu 26.04,2026-07-25,2026-07-15
forgejo,Forgejo,code-hosting,MIT,https://codeberg.org/forgejo/forgejo,https://forgejo.org,true,512,Ubuntu 26.04,2026-07-25,2026-07-13
frappe-crm,Frappe CRM,crm,AGPL-3.0,https://github.com/frappe/crm,https://frappe.io/crm,true,2048,Ubuntu 26.04,2026-08-04,2026-08-05
freshrss,FreshRSS,rss-reader,AGPL-3.0,https://github.com/FreshRSS/FreshRSS,https://freshrss.org,true,256,Ubuntu 26.04,2026-07-25,2026-07-13
gatus,Gatus,monitoring,Apache-2.0,https://github.com/TwiN/gatus,https://gatus.io,true,256,Ubuntu 26.04,2026-08-27,2026-08-28
gitbucket,GitBucket,code-hosting,Apache-2.0,https://github.com/gitbucket/gitbucket,https://gitbucket.github.io/,false,1024,Ubuntu 26.04,2026-08-27,2026-08-28
gitea,Gitea,code-hosting,MIT,https://github.com/go-gitea/gitea,https://gitea.io,true,512,Ubuntu 26.04,2026-07-25,2026-07-13
gitlab,GitLab CE,code-hosting,MIT,https://github.com/gitlabhq/gitlabhq,https://about.gitlab.com,true,16384,Ubuntu 26.04,2026-08-27,2026-08-28
